Airline,Flight Number,Aircraft,Status,Departure,Departure Date,Gate/Terminal,Arrival,Arrival Date,Flight URL,Departure Delay Status,Arrival Delay Status
Air India,AIC2415,A20N,Scheduled (in 22 hours 55 minutes),Thu 09:40AM IST,2025-04-10,,12:35PM IST Thu,2025-04-10,https://www.flightaware.com/live/flight/id/AIC2415-1744690319-airline-1520p,(on time),(on time)
IndiGO,IGO2408,A21N,Scheduled (in 22 hours 45 minutes),Thu 09:30AM IST,2025-04-10,,12:25PM IST Thu,2025-04-10,https://www.flightaware.com/live/flight/id/IGO2408-1744690473-schedule-1649p,(on time),(on time)
Air India,AIC801,A20N,Scheduled (in 22 hours 15 minutes),Thu 09:00AM IST,2025-04-10,,11:50AM IST Thu,2025-04-10,https://www.flightaware.com/live/flight/id/AIC801-1744688012-airline-887p,(on time),(on time)
Air India,AIC427,B788,Scheduled (in 21 hours 45 minutes),Thu 08:30AM IST,2025-04-10,,11:20AM IST Thu,2025-04-10,https://www.flightaware.com/live/flight/id/AIC427-1744686077-airline-685p,(on time),(on time)
IndiGO,IGO2109,A21N,Scheduled (in 21 hours 15 minutes),Thu 08:00AM IST,2025-04-10,,10:55AM IST Thu,2025-04-10,https://www.flightaware.com/live/flight/id/IGO2109-1744684622-schedule-33p,(on time),(on time)
Air India,AIC651,A20N,Scheduled (in 21 hours 15 minutes),Thu 08:00AM IST,2025-04-10,,10:50AM IST Thu,2025-04-10,https://www.flightaware.com/live/flight/id/AIC651-1744684431-airline-50p,(on time),(on time)
Air India,AIC2815,A20N,Scheduled (in 20 hours 45 minutes),Thu 07:30AM IST,2025-04-10,,10:10AM IST Thu,2025-04-10,https://www.flightaware.com/live/flight/id/AIC2815-1744682468-airline-526p,(on time),(on time)
IndiGO,IGO2103,A21N,Scheduled (in 20 hours 15 minutes),Thu 07:00AM IST,2025-04-10,,09:55AM IST Thu,2025-04-10,https://www.flightaware.com/live/flight/id/IGO2103-1744680768-schedule-1564p,(on time),(on time)
Air India Express,AXB1170,A320,Scheduled (in 19 hours 45 minutes),Thu 06:30AM IST,2025-04-10,,09:30AM IST Thu,2025-04-10,https://www.flightaware.com/live/flight/id/AXB1170-1744679843-schedule-487p,(on time),(on time)
Air India,AIC803,A20N,Scheduled (in 19 hours 40 minutes),Thu 06:25AM IST,2025-04-10,,09:20AM IST Thu,2025-04-10,https://www.flightaware.com/live/flight/id/AIC803-1744678916-schedule-53p,(on time),(on time)
Air India,AIC2409,A20N,Scheduled (in 19 hours),Thu 05:45AM IST,2025-04-10,,08:40AM IST Thu,2025-04-10,https://www.flightaware.com/live/flight/id/AIC2409-1744676916-schedule-909p,(on time),(on time)
IndiGO,IGO2069,A21N,Scheduled (in 19 hours),Thu 05:45AM IST,2025-04-10,,08:30AM IST Thu,2025-04-10,https://www.flightaware.com/live/flight/id/IGO2069-1744676916-schedule-895p,(on time),(on time)
